review,rating
"Pertama kita review dari 1. Halamannya ok bersih, adem juga 2. Ada fasilitas langgar juga. 3. untuk tempat parkir mobil dan motor tertata dgn rapi dan khusus. 4. Untuk resepsionis goodlooking dan ramah. 5. Untuk security ramah, tegas dan berwawasan jg untuk nama Pejabat. Bintang ⭐⭐⭐⭐⭐",5
Lokasi strategis buat kuliah.,4
Pandemi usai aktivitas normal,3
Terbaik dong ya.......,4
kurang bagus unmul ni,1
luar biasa bisa masuk unmul,5
lupa ternyata pernah masuk univ ini,5
jangan lupa buat terus berkembang ya unmul jangan sia siakan uang pendidikan,5
aku dukung selalu unmul ku,5
dulu bingung mau masuk kampus mana dan ternyata tetap 1 pilihannya yang pasti yaitu universitas mulawarman,5
aku s2 di Unmul🤗💜gaperlu jauh jauh ke luar,5
Okk,3
bisa ya begitu masuk susah keluar juga susah,3
gatau bagus mana bingung pilih jurusan apa di unmul,4
univ ku kmpus ku,4
bisa bisanya aku ga lolos unmul,1
kenapa min mul kamu tolak aku,1
sudah,2
gila sih emang unmul ini bets banget,5
👌👌👌👌,1
apa yang dibanggakan,1
baik baik orangnya pas masuk kuliah tapi pas udah dijalanin jahat orang orangnya,1
bnayak dosen yang g jls,1
aku bangga dan aku bilang,4
komennya kenapa ada aja yg gasuka sama unmul aku kuliah bagus bagus aja,5
demo mahasiswanya itu karena kampusnya g jls,1
keren poll,5
bubuhannya nh kuliah disini 👌👌👌👌,4
🥰🥰🥰,4
......,3
aku suka unmul🥰🥰🥰,5
unmul knpa pas tes snbt banyak yg curang pengawasnya ga mantau malah tidur,1
unmul adalah pilihanku kalau masuk kuliah,5
bisa masuk unmul itu kebanggan yang gabisa diungkapkan,5
gedung gedung tinggi tapi kok kaya terbengkalai gitu,3
asri dan nyaman masih banyak pohon,5
pohon pohonnya diunmul masih terawat loh dan buat belajar di bawahnya masih oke,5
taman unmul selalu ramai ya dulu kirain itu tempat apa gitu ternyata duduk duduk sambil baca seru ada kantinnya juga disitu,5
alumni unmul ini,4
MAsa iya skrang banyak skandal,1
ganyangka,2
banyak gedung serbaguna tapi minta perizinan susah banget dan lama ribet,2
Kadang wifi nya ga kuat masa ga bisa upgrede lebih,2
bisa,5
siyappp...,4
"Lumayan bagus, hanya saja seperti tidak terawat, karena kdg tempatnya kotor seperti tdk ada yg membersihkan",4
"UNMUL AKU KASIH BINTANG TIGA, KALO KETERIMA GEOLOGI AKU BINTANG 5",3
"tempat nya bersih, lumayan luas.Pesan saya untuk mahasiswa, jangan nyampah di taman🙏🏽 …",4
mari smaa sama jaga dan rawat kampus kita,4
Nyasar trus kalau keliling unmul ini,4
Sebagian waktu habis di sini wkwkw,5
masih sepi juga kegiatan nya unmul ini,3
Pernah datang ke unmul buat pelatihan dan gedungnya bagus nyaman dan bersih,5
Alumni,5
lumayan lah,4
sudah sering kesini,4
ada ciri khasnya unmul ini yaitu tropis luas lagi,5
b ja,1
sudah seharusnya,5
kren dh,3
apalah ini,1
UKT NAH MAHAL BANAR,1
aku sudah cukup sennag keterima di unmul ini impian pas SMA bisa masuk unmul🥰🥰🥰 dan akhirnya masuk FK UNMUL,5
makasih,4
ya,3
cukup prihatin,2
suka senang disini semua bareng teman,5
unmul tempatnya nostalgia,4
kalau kesini sekarang sama anak istri liat tempat ku mencari ilmu,5
sukses selalu univ ku,5
PKKMB kemarin seru loh unmul maksih,5
Tidak pernah mengecewakan,4
Baguss,5
WC-nya tidak terawat,3
setiap ada kegiatan wisuda macett parah,4
bulan depan aku wisuda Unmul🤗💜,5
bersih,5
iya bagus,5
Dari awal sudah suka banget dan semangatt masuk unmul karena impian sampai lulus juga dan kerja masih suka lewat unmul untuk mengingat kenangan itu,5
impian,5
jalan kaki aja klau ke kampus dan lebih sehat,4
bersih,4
semangattt,3
iya baguss,4
kerenn sih menurut gue,4
gabisa berkata kata lagi gue ke unmul,1
mantapp jiwaa,5
sekarang unmul unggull emng pantes sih,5
luarr biasaa kerenn,4
