review,rating
"Kampus 2 universitas mulawarman lebih dikenal dengan sebutan ""unmul pahlawan"" Karena letaknya yang berdekatan dengan taman makam pahlawan. Kampus ini merupakan bangunan lama terdiri atas 3 prodi yang mengadakan kegiatan belajar mengajar di …",5
"lampu wc mahasiswa mati, kursi di kelas sering kurang, & beberapa dosen susah ditemui.",4
"Kampus Pahlawan ini sepertinya hanya untuk jurusan bahasa Inggris ya, bangunannya masih bangunan lama, belum yang baru, jadi kelasnya juga masih kelas yang model lama. …",4
"Kampus pahlawan adalah kampus yang terbaik, karena didepan kampus ini terdapat taman yang dilengkapi wifi.id dimana kita bisa bersantai saat jam istirahat kuliah, disekelilingnya juga terdapat warung maka, Atm, tempat fotokopi, dan sejenisnya.. Dilengkapi asrama mahasiswa dan juga ada banyak kost-kostan disekitarnya",5
Kuliah di Unmul sekarang banyak diajar oleh Dosen sesuai bidang ilmu dan banyak peluang untuk joint dengan lembaga kemahasiswaan sesuai minat serta bakat,5
Kampus negeri favorid untuk anak anak menuntut ilmu,5
Kampus negeri Favoritt aku untuk anak anak menuntut ilmu dan mencetak generasi penerus bangsa yg cerdas,5
Kampus yg nyaman namun fasilitasnya agak kurang,4
Nyaman namun fasilitasnya agak Belum bisa memadai,4
Kampus terbaik sepanjang masa bung,5
Kampus gw udah tenang asri juga,5
Kampus gw ni wlau bukan pusat,5
Universitas kebanggaan kota samarinda,5
Recommended banget,5
Recommended banget buat klen buhannya,5
Kampus II Unmul,4
Minggu bahasa Inggris ke-5,5
bagus tapi tidak terlalu bagus,3
Bagus,5
Sempat bingung ada kost yg ngaku dekat FKIP ternyata FKIP banggeris beda sama yg di Pramuka. Hehe,5
"Seperti kampus kebanyakan,teduh banyak pohon besar serta lingkungan diluar kampusnya mendukung karena dekat pemukiman jadi bagi mahasiswa jika ingin jajan gak perlu jauh2 karena disekitar kampus banyak toko dan warung2 makan",5
"Kampus pendidikan keguruan Universitas Mulawarman, merupakan kampus yg dilengkapi sarana pendidikan dan sarana ibadah yg bagus dan nyaman, dengan lingkungan yg cukup asri, baik sekali untuk kegiatan belajar san mengajar.",4
Kebersihan kampus sangat bersih dan tempat parkir yang luas namun wilayah parkir daerah belakang rawan hilang helm,4
Universitas Negeri terbesar di Kalimantan. Tempat menempuh pendidikan tinggi yang nyaman dan asri.,5
Kampus saya tempat menimba ilmu. Mencetak calon guru yang berkualitas,5
"Tempat berkuliah untuk menjadi pendidik bangsa, mencetak banyak pendidikan yang beemutu.",5
"Di sekitar kampus banyak sekali warung makan, harganya lebih murah.",5
"Yang tau kost putri harga terjangkau, tlong infonya slurr",3
Tempat Pendidikan yang lumayan baik,3
Keren Unmul banggeris,5
Kampus FKIP Unmul dalam pengembangan,5
Subhanallah..Mesjidnya bagus,5
Kampus FKIP UNMUL ada disini,5
Kampus S1 tercinta 😇 …,5
👍👍 …,5
Kampus paling megah di Samarinda 😂😂 …,5
Unmul banggeris kemajuan pesat...,5
👍👍👍 …,5
Layaknya rumah,5
dari 2009 sampai sekarang kampus kebanggaan 🙂 …,5
Kampus modern bersih dan nyaman,5
Tetap semangat melaksanakan aktifitas menuju Ridha-Nya hingga batas waktu yang telah ditetapkan meskipun tanpa kita ketahui sampai kapan. Stay positive thinking dan bersyukur atas segala nikmat yang diterima☝,5
Banyak perubahan semenjak masuk kuliah sampai Kelulusan,5
Tempatnya bersih dan nyaman. Pelayanan nya ramah. Saat ini sedang menerapkan protokol kesehatan yang sesuai dan tidak merepotkan,5
"Kampusnya bersih, musholanya bersih n berAC, banyak tamannya",5
Kampusnya bersih bagus super clean lh,5
"Walau pun tidak lagi menjadi guru, tapi setidaknya bisa membantu untuk mendidik putra putri belahan jiwa...",5
"Bismilah, semoga saya bisa menjadi salah satu guru lulusan unmul, aminnn",5
Suasana mau hujan saat mau pulang,5
krenn unmul ku,5
minggu depan udah masuk unmul aja welcome pkkmb,5
seru bangett di unmul,4
susah masuk kalau udah banjir,3
urusan administrasi dioper-oper,1
Semua cerita ada disini terima kasih unmul,5
Lingkungannya nyaman hanya saja masih pandemi covid jadi sepi,4
bagus sekali,5
iya akreditas A tapi ga sesuai,2
wehhhh kembalikan uang ku,3
Pernah Kul disini. Kelas malam.. Angkat Jempool !!! :),4
bagus dongg kan kampus aku 🥰 …,5
sekarang unmul udah ada buat s2 nya keren deh,5
rasanya mau kuliah lagi dengan ada nya s2 yang dibuka apalagi ada gratispoll,5
Tidak ada kontak yg bisa dihubungi,1
Kesan terbaik untuk kampus ku,4
"menemukan cinta sejati sampai jadi istri anak unmul, Gedungnya bagus keren banget",4
???,2
biasa ajaa padahal,1
aku suka ya karena kampus ku unmul,5
siapa sih yang ga bangga masuk univ terbesar di Kalimantan Timur,5
satpamnya ga kerja masa ga diarahin jalan di unmul itu kalau mau keluar masuk,1
urus administrasi sesuai sam aprosedur bahkan bisa nyantai di perpus unmul depan rektorat,4
"Rawan hilang helm, diminta cctv katanya rusak. Cctv cuman pajangan :)",1
Bisnis menyenangkan,3
lulusan dari Kampus Bersih dan Hijau... terima kasih,5
Sip......      👌👌👌👌 …,4
👀👀👀 …,4
semoga bisa mempertahankan yg baik² dan memperbaiki yg kurang bagus,4
jangan jangan masuk unmul bisa jalur orang dalam mandang jabatan juga,2
okey,3
mantap,5
Satpam nya jutek² & tidak ramah. Orang naik motor berhenti di depan pos satpam niat mau bertanya malah diteriakin suruh masuk.,1
Cakepp bgt dahh kampuskuuu,5
Jaya teruss Unmul🤗💜 Cek bouquet bs ke Instagram sunnysouvenirsmr yaaa 💐❤🤗 Atau wa 081253474099,4
