review,rating
"Pertama kita review dari 1. Halamannya ok bersih, adem juga 2. Ada fasilitas langgar juga. 3. untuk tempat parkir mobil dan motor tertata dgn rapi dan khusus. 4. Untuk resepsionis goodlooking dan ramah. 5. Untuk security ramah, tegas dan berwawasan jg untuk nama Pejabat. Bintang ⭐⭐⭐⭐⭐",5 bintang
Lokasi strategis buat kuliah.,4 bintang
Pandemi usai aktivitas normal,3 bintang
Terbaik dong ya.......,4 bintang
kurang bagus unmul ni,1 bintang
luar biasa bisa masuk unmul,5 bintang
lupa ternyata pernah masuk univ ini,5 bintang
jangan lupa buat terus berkembang ya unmul jangan sia siakan uang pendidikan,5 bintang
aku dukung selalu unmul ku,5 bintang
dulu bingung mau masuk kampus mana dan ternyata tetap 1 pilihannya yang pasti yaitu universitas mulawarman,5 bintang
aku s2 di Unmul🤗💜gaperlu jauh jauh ke luar,5 bintang
Okk,3 bintang
bisa ya begitu masuk susah keluar juga susah,3 bintang
gatau bagus mana bingung pilih jurusan apa di unmul,4 bintang
univ ku kmpus ku,4 bintang
bisa bisanya aku ga lolos unmul,1 bintang
kenapa min mul kamu tolak aku,1 bintang
sudah,2 Bintang
gila sih emang unmul ini bets banget,5 bintang
👌👌👌👌,1 bintang
apa yang dibanggakan,1 bintang
baik baik orangnya pas masuk kuliah tapi pas udah dijalanin jahat orang orangnya,1 bintang
bnayak dosen yang g jls,1 bintang
aku bangga dan aku bilang,4 bintang
komennya kenapa ada aja yg gasuka sama unmul aku kuliah bagus bagus aja,5 bintang
demo mahasiswanya itu karena kampusnya g jls,1 bintang
keren poll,5 bintang
bubuhannya nh kuliah disini 👌👌👌👌,4 bintang
🥰🥰🥰,4 bintang
......,3 bintang
aku suka unmul🥰🥰🥰,5 bintang
unmul knpa pas tes snbt banyak yg curang pengawasnya ga mantau malah tidur,1 bintang
unmul adalah pilihanku kalau masuk kuliah,5 bintang
bisa masuk unmul itu kebanggan yang gabisa diungkapkan, 5 bintang
