review,rating
Bagus bgett,3
Bagus,3
Perguruan tinggi negeri..,5
Perguruan tinggi negeri terbesar yang ada di Kalimantan..,5
kampus samarida pertama,5
kampus samarida,5
Oh ini kampus gundik itu viral loh,1
Oh ini kampus gundik,1
ada gundik,1
"Prodi Pembangunan Sosial, Unmul",5
"Keren universitasnya. Terutama Prodi Pembangunan Sosial, Fisip, Unmul",5
Kampus Terbesar dan tertua Kalimantan Timur,5
Kampus Negeri Terbesar Di Kalimantan Timur,5
luas jadi saya sarankan untuk melihat Google maps agar supaya tahu tempat tujuan,5
Tempatnya amat sangat luas jadi saya sarankan untuk melihat Google maps agar supaya tahu tempat tujuan,5
melihat Google maps agar supaya tahu tempat tujuan,5
"Assalamualaikum Devi Monica
Apa kabar?",5
Mantap Jiwa kampusku,5
Mantap Jiwa,5
"tolong rapat ataw apa pun itu,untuk kegiatan kampus lebih bijak,bisa di jam kerja supaya tidak harus pulang larut malam",5
"tolong untuk pengambilan rapat ataw apa pun itu,untuk kegiatan kampus lebih bijak,bisa di jam kerja supaya tidak harus pulang larut malam",5
"Suasananya teduh dan asri tempat ok untuk jogging, tripnya lumayan bikin ngos² an kalau dari gerbang depan sampai fakultas kehutanan, view-nya juga cantik untuk spot foto",5
"fakultas kehutanan, view-nya juga cantik untuk spot foto",5
Terbaik,5
Terbaik menurut banyak orang,3
"udah kelar pendadaran dari MEI 2024 tapi sampai sekarang 2025 BELUM WISUDA. mohon diperbaiki lagi sistemnya, SAYA BUTUH IJAZAH! tidak perlu wisuda juga tidak masalah.",1
BELUM WISUDA. SAYA BUTUH IJAZAH! tidak perlu wisuda juga tidak masalah.,1
"Universitas Mulawarman adalah perguruan tinggi negeri yang terletak di Samarinda, Kalimantan Timur, didirikan pada 27 September 1962. Universitas Mulawarman merupakan perguruan tinggi negeri tertua di Kalimantan Timur dan memiliki lebih …",5
Universitas kuu ini...,5
Sangat luar biasa,5
luar biasa,5
Bismillah ~,5
kereeeenn~,5
Lulusanx oke,5
Lulusan 2024,5
Keren...,5
Keren,5
Dapatkan banyak penghargaan lewat unmul,5
Impian anak muda indonesia meraih mimpi,5
banyak orang luar negeri juga,5
Kampus impian,5
lengkap disitu,4
Luar biasa semua lengkap disitu,4
Ngak ngerti aku smaa sistemnya,1
Ngak ngerti cara daftar,1
Mantap ais unmul,5
Mantap,5
"Selamat siang admin.Mohon bantuan.Suami saya atas nama Fransiskus Kia Boleng Buluamang
jurusan akuntansi perpajakan fakultas ekonomi …",2
"Selamat siang admin, banyak rusak nih",2
Oke,5
Okeee,5
Bagus,5
Bagusssas,5
Tempat Menimba Ilmu dan Mencari Istri 🤣 …,5
Tempat Menimba Ilmu,5
hai unmul🥰😋💗💗💗💗 …,5
BINTANG 1000/10,5
Bagus untuk para pelajar yang ingin meneruskan pendidikan ke bangku pendidikan tinggi,5
tolong terima aku yaa unmul di snbt 🥰😋💗💗💗💗 …,5
Bgusss,5
Bgus,5
👍 …,5
👍 …,5
cukup bersih dan nyaman. …,3
"Salah perguruan tinggi negeri yang terkemuka di Kota Samarinda khususnya dan di Provinsi Kalimantan Timur pada umumnya.
Luass kampus ini …",3
Universitas terbaik dengan prodi yang terakreditasi serta tim pengajar yang berkualitas,5
pengajar yang berkualitas,5
jauh lebih baik,5
Semoga Unmul kedepannya jauh lebih baik lagi,5
Mantap ukt menyala,2
Mantap,5
Mantappp,5
Mantap 89,5
"UKT kemahalan ga sesuai sama akreditasi kampus dan jurusan, masa seharga sama kampus swasta ternama di pulau jawa yang akreditasinya sudah internasional. Penjadwalan pembayaran juga aneh, karna mepet waktu, setelah validasi besoknya hari …",1
UKT kemahalan ga sesuai sama akreditasi,1
